new_name,extended_offset,extended_byte_length,extended_duration_ms
Kick_01_(RF_96Hz).wav,5281026,66998,253.039
Kick_02_(RF_95Hz).wav,5348024,113438,428.549
Kick_03_(RF_85Hz).wav,5461462,91652,346.213
Kick_04_(RF_81Hz).wav,5553114,82940,313.288
Kick_05_(RF_79Hz).wav,5636054,70796,267.392
Kick_06_(RF_78Hz).wav,5706850,52298,197.483
Kick_07_(RF_76Hz).wav,5759148,57770,218.163
Kick_08_(RF_73Hz).wav,5816918,54032,204.036
Kick_09_(RF_72Hz).wav,5870950,79244,299.320
Kick_10_(RF_72Hz).wav,5950194,79232,299.274
Kick_11_(RF_69Hz).wav,6029426,45650,172.358
Kick_13_(RF_66Hz).wav,6075076,77444,292.517
Kick_14_(RF_66Hz).wav,6152520,63104,218.958
Kick_15_(RF_65Hz).wav,6215624,121292,421.000
Kick_16_(RF_64Hz).wav,6336916,86636,327.256
Kick_17_(RF_62Hz).wav,6423552,57848,218.458
Kick_18_(RF_57Hz).wav,6481400,67148,233.000
Kick_19_(RF_54Hz).wav,6548548,656108,2278.000
Kick_20_(RF_54Hz).wav,7204656,649484,2255.000
Kick_21_(RF_53Hz).wav,7854140,69206,261.383
Kick_22_(RF_52Hz).wav,7923346,184076,639.000
Kick_23_(RF_48Hz).wav,8107422,113432,428.526
Kick_24_(RF_42Hz).wav,8220854,120710,418.979
SnareClap_02_(SC_3824Hz).wav,8341564,119030,413.146
SnareClap_03_(SC_3478Hz).wav,8460594,54110,187.729
SnareClap_04_(SC_3381Hz).wav,8514704,44462,154.229
SnareClap_05_(SC_3344Hz).wav,8559166,85106,295.354
SnareClap_06_(SC_3291Hz).wav,8644272,138812,481.833
SnareClap_08_(SC_3052Hz).wav,8783084,74330,257.938
SnareClap_09_(SC_2833Hz).wav,8857414,106478,369.562
SnareClap_10_(SC_2614Hz).wav,8963892,71924,249.583
SnareClap_11_(SC_2598Hz).wav,9035816,108608,376.958
SnareClap_12_(SC_2367Hz).wav,9144424,67358,233.729
SnareClap_13_(SC_2106Hz).wav,9211782,118832,412.458
