original_name,new_name,category,metric,frequency_hz,original_duration_ms,leading_trim_ms,natural_end_ms,final_duration_ms,forced_130ms,fade_ms,sample_rate,frames,byte_length
02.Doom Pulse 9.wav,Kick_01_(RF_96Hz).wav,Kick,RF,96,428.571,0.000,251.429,130.000,1,1.0,44100,5733,34442
01.Annihilator 5.wav,Kick_02_(RF_95Hz).wav,Kick,RF,95,428.571,0.000,428.571,130.000,1,1.0,44100,5733,34442
01.Annihilator 6.wav,Kick_03_(RF_85Hz).wav,Kick,RF,85,428.571,0.000,348.209,130.000,1,1.0,44100,5733,34442
02.Doom Pulse 3.wav,Kick_04_(RF_81Hz).wav,Kick,RF,81,428.571,0.000,311.293,130.000,1,1.0,44100,5733,34442
01.Annihilator 1.wav,Kick_05_(RF_79Hz).wav,Kick,RF,79,428.571,0.000,265.397,130.000,1,1.0,44100,5733,34442
01.Annihilator 3.wav,Kick_06_(RF_78Hz).wav,Kick,RF,78,428.571,0.000,195.556,130.000,1,1.0,44100,5733,34442
01.Annihilator 4.wav,Kick_07_(RF_76Hz).wav,Kick,RF,76,428.571,0.000,216.508,130.000,1,1.0,44100,5733,34442
01.Annihilator 8.wav,Kick_08_(RF_73Hz).wav,Kick,RF,73,428.571,0.000,203.537,130.000,1,1.0,44100,5733,34442
01.Annihilator 7.wav,Kick_09_(RF_72Hz).wav,Kick,RF,72,428.571,0.000,297.324,130.000,1,1.0,44100,5733,34442
02.Doom Pulse 2.wav,Kick_10_(RF_72Hz).wav,Kick,RF,72,428.571,0.000,297.324,130.000,1,1.0,44100,5733,34442
02.Doom Pulse 1.wav,Kick_11_(RF_69Hz).wav,Kick,RF,69,428.571,0.000,171.610,130.000,1,1.0,44100,5733,34442
BD1.wav,Kick_12_(RF_67Hz).wav,Kick,RF,67,217.333,0.000,123.000,123.500,0,0.5,48000,5928,35612
01.Annihilator 2.wav,Kick_13_(RF_66Hz).wav,Kick,RF,66,428.571,0.000,293.333,130.000,1,1.0,44100,5733,34442
BD3.wav,Kick_14_(RF_66Hz).wav,Kick,RF,66,398.229,0.000,217.000,130.000,1,1.0,48000,6240,37484
BD4.wav,Kick_15_(RF_65Hz).wav,Kick,RF,65,504.167,4.854,419.000,130.000,1,1.0,48000,6240,37484
01.Annihilator 10.wav,Kick_16_(RF_64Hz).wav,Kick,RF,64,428.571,0.000,325.261,130.000,1,1.0,44100,5733,34442
02.Doom Pulse 10.wav,Kick_17_(RF_62Hz).wav,Kick,RF,62,428.571,0.000,216.508,130.000,1,1.0,44100,5733,34442
BD2.wav,Kick_18_(RF_57Hz).wav,Kick,RF,57,375.875,0.000,231.000,130.000,1,1.0,48000,6240,37484
808-1.wav,Kick_19_(RF_54Hz).wav,Kick,RF,54,2990.354,0.000,2280.000,130.000,1,1.0,48000,6240,37484
808-2.wav,Kick_20_(RF_54Hz).wav,Kick,RF,54,2906.896,0.000,2257.000,130.000,1,1.0,48000,6240,37484
01.Annihilator 9.wav,Kick_21_(RF_53Hz).wav,Kick,RF,53,428.571,0.000,259.410,130.000,1,1.0,44100,5733,34442
808-3.wav,Kick_22_(RF_52Hz).wav,Kick,RF,52,827.062,0.000,641.000,130.000,1,1.0,48000,6240,37484
02.Doom Pulse 4.wav,Kick_23_(RF_48Hz).wav,Kick,RF,48,428.571,0.000,428.571,130.000,1,1.0,44100,5733,34442
BD5.wav,Kick_24_(RF_42Hz).wav,Kick,RF,42,568.583,0.000,418.000,130.000,1,1.0,48000,6240,37484
Snap 05.wav,SnareClap_01_(SC_3956Hz).wav,SnareClap,SC,3956,84.062,0.000,84.062,84.062,0,0.5,48000,4035,24254
SNARE5.wav,SnareClap_02_(SC_3824Hz).wav,SnareClap,SC,3824,717.833,0.000,413.000,130.000,1,1.0,48000,6240,37484
SNAP2.wav,SnareClap_03_(SC_3478Hz).wav,SnareClap,SC,3478,1006.375,0.000,189.000,130.000,1,1.0,48000,6240,37484
Snap 03.wav,SnareClap_04_(SC_3381Hz).wav,SnareClap,SC,3381,154.250,0.000,154.250,130.000,1,1.0,48000,6240,37484
SNARE4.wav,SnareClap_05_(SC_3344Hz).wav,SnareClap,SC,3344,587.667,0.000,295.000,130.000,1,1.0,48000,6240,37484
SNARE7.wav,SnareClap_06_(SC_3291Hz).wav,SnareClap,SC,3291,1994.688,0.000,482.000,130.000,1,1.0,48000,6240,37484
Snap 04.wav,SnareClap_07_(SC_3104Hz).wav,SnareClap,SC,3104,89.979,0.000,89.979,89.979,0,0.5,48000,4319,25958
CLAP2.wav,SnareClap_08_(SC_3052Hz).wav,SnareClap,SC,3052,546.562,0.000,256.000,130.000,1,1.0,48000,6240,37484
CLAP6.wav,SnareClap_09_(SC_2833Hz).wav,SnareClap,SC,2833,879.021,0.000,370.000,130.000,1,1.0,48000,6240,37484
SNAP3.wav,SnareClap_10_(SC_2614Hz).wav,SnareClap,SC,2614,959.625,0.000,251.000,130.000,1,1.0,48000,6240,37484
