source_name,offset,byte_length,duration_ms
02.Doom Pulse 9.wav,0,88844,308.333
01.Annihilator 5.wav,88844,123464,428.542
01.Annihilator 6.wav,212308,114230,396.479
01.Annihilator 1.wav,326538,84698,293.938
01.Annihilator 3.wav,411236,69404,240.833
01.Annihilator 4.wav,480640,80900,280.75
01.Annihilator 8.wav,561540,66068,229.25
01.Annihilator 7.wav,627608,99920,346.792
02.Doom Pulse 2.wav,727528,96632,335.375
02.Doom Pulse 1.wav,824160,69362,240.688
BD1.wav,893522,55724,193.333
01.Annihilator 2.wav,949246,101096,350.875
BD3.wav,1050342,105224,365.208
BD4.wav,1155566,145238,504.146
01.Annihilator 10.wav,1300804,103220,358.25
02.Doom Pulse 10.wav,1404024,68420,237.417
01.Annihilator 9.wav,1472444,87842,304.854
Snap 05.wav,1560286,24254,84.062
SNARE5.wav,1584540,166070,576.479
SNAP2.wav,1750610,168260,584.083
Snap 03.wav,1918870,44462,154.229
Snap 04.wav,1963332,25958,89.979
CLAP2.wav,1989290,129914,450.938
SNAP3.wav,2119204,176396,612.333
SNAP4.wav,2295600,266480,925.125
SNAP1.wav,2562080,191204,663.75
SNARE6.wav,2753284,284996,989.417
RnT_Timbale-04.wav,3038280,203858,707.688
RnT_Timbale-03.wav,3242138,374222,1299.229
RnT_Timbale-06.wav,3616360,338066,1173.688
RnT_Timbale-01.wav,3954426,213230,740.229
TOM4.wav,4167656,548984,1906.042
TOM6.wav,4716640,158360,549.708
TOM2.wav,4875000,514646,1786.812
TOM3.wav,5389646,386984,1343.542
RnT_Timbale-02.wav,5776630,249212,865.167
RnT_Timbale-05.wav,6025842,203672,707.042
TOM5.wav,6229514,133148,462.167
TOM1.wav,6362662,620270,2153.562
Rimshot 02.wav,6982932,33026,114.521
Rimshot 22.wav,7015958,37874,131.354
Rimshot 04.wav,7053832,118784,412.292
Rimshot 36.wav,7172616,105314,365.521
Rimshot 37.wav,7277930,119288,414.042
Rimshot 25.wav,7397218,42632,147.875
Rimshot 35.wav,7439850,101984,353.958
Rimshot 18.wav,7541834,43784,151.875
HH1.wav,7585618,124838,433.312
HH5.wav,7710456,59642,206.938
HH2.wav,7770098,146102,507.146
HH4.wav,7916200,65738,228.104
RnT_Agogo-01.wav,7981938,297908,1034.25
RnT_Woodblock-03.wav,8279846,25364,87.917
Clave 04.wav,8305210,57422,199.229
RnT_Agogo-02.wav,8362632,398222,1382.562
RnT_Agogo-04.wav,8760854,189116,656.5
RnT_Agogo-03.wav,8949970,216266,750.771
RnT_Claves-04.wav,9166236,26774,92.812
RnT_Cowbell-02.wav,9193010,74030,256.896
RnT_Claves-05.wav,9267040,24170,83.771
RnT_Cowbell-05.wav,9291210,524252,1820.167
RnT_Claves-01.wav,9815462,42032,145.792
RnT_Cowbell-06.wav,9857494,197528,685.708
RnT_Claves-03.wav,10055022,49670,172.312
RnT_Agogo-05.wav,10104692,212534,737.812
RnT_Cowbell-03.wav,10317226,207758,721.229
RnT_Agogo-06.wav,10524984,131984,458.125
Clave 02.wav,10656968,41396,143.583
Clave 01.wav,10698364,42140,146.167
RnT_Claves-02.wav,10740504,43952,152.458
RnT_Agogo-07.wav,10784456,200576,696.292
Clave 03.wav,10985032,41984,145.625
RnT_Woodblock-02.wav,11027016,45608,158.208
RnT_Woodblock-01.wav,11072624,50492,175.167
RnT_Cowbell-01.wav,11123116,99728,346.125
taiko-normal-hitnormal.wav,11222844,12854,44.479
ForestPerc_ProcessA_Hit_02.wav,11235698,151022,524.229
RnT_Cowbell-04.wav,11386720,173456,602.125
ForestPerc_ProcessA_Hit_06.wav,11560176,175058,607.688
ForestPerc_ProcessB_Hit_06.wav,11735234,512204,1778.333
ForestPerc_ProcessD_Hit_01.wav,12247438,255092,885.583
ForestPerc_ProcessB_Hit_04.wav,12502530,438890,1523.771
